Destination,Origin,2015 Combined,2020 Combined,2015 Males,2020 Males,2015 Females,2020 Females
Gabon,United States of America,502,550,311,340,191,210
Gabon,Burkina Faso,6386,7024,4271,4696,2115,2328
Gabon,Other,9935,10985,7011,7720,2924,3265
Sao Tome and Principe,Micronesia,0,0,0,0,0,0
Sao Tome and Principe,Angola,358,319,144,129,214,190
Sao Tome and Principe,Cabo Verde,1363,1220,655,584,708,636
Sao Tome and Principe,Equatorial Guinea,146,129,53,47,93,82
Sao Tome and Principe,Gabon,237,210,167,149,70,61
Sao Tome and Principe,Mozambique,116,102,95,84,21,18
Sao Tome and Principe,Portugal,118,104,61,55,57,49
Sao Tome and Principe,Other,56,55,22,19,34,36
Algeria,Micronesia,0,0,0,0,0,0
Algeria,France,523,543,225,233,298,310
Algeria,State of Palestine,29900,31097,15932,16553,13968,14544
Algeria,Germany,733,761,243,253,490,508
Algeria,Indonesia,1363,1416,998,1037,365,379
Algeria,Iraq,7156,7441,3404,3535,3752,3906
Algeria,Italy,698,725,268,278,430,447
Algeria,Jordan,2132,2216,1122,1165,1010,1051
Algeria,Kuwait,1129,1172,739,768,390,404
Algeria,Lebanon,1155,1199,444,461,711,738
Algeria,Libya,2195,2281,1152,1197,1043,1084
Algeria,Malaysia,827,859,568,591,259,268
Algeria,Russian Federation,757,785,314,325,443,460
Algeria,Saudi Arabia,3706,3852,2274,2361,1432,1491
Algeria,Somalia,10923,11361,5992,6227,4931,5134
Algeria,Sudan,1506,1566,795,828,711,738
Algeria,Western Sahara,156658,162952,82788,86018,73870,76934
Algeria,Syrian Arab Republic,6211,7757,3268,4080,2943,3677
Algeria,United Kingdom,754,782,315,326,439,456
Algeria,United States of America,1032,1072,483,502,549,570
Algeria,Yemen,2232,2320,1285,1335,947,985
Algeria,Other,7883,8221,3913,4069,3970,4152
Egypt,Micronesia,0,0,0,0,0,0
Egypt,Afghanistan,135,210,108,164,27,46
Egypt,Albania,77,119,51,75,26,44
Egypt,Algeria,569,889,245,318,324,571
